Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
ML Hayden,AJ Finch,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
ML Hayden,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,A Mithun,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
ML Hayden,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,AA Jhunjhunwala,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
ML Hayden,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
ML Hayden,AS Raut,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
ML Hayden,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,AN Ahmed,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
ML Hayden,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
ML Hayden,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,A Zampa,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
ML Hayden,AP Dole,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
ML Hayden,AD Mascarenhas,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
ML Hayden,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,AB Agarkar,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.0,0.23076923076923078,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
ML Hayden,A Chandila,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
ML Hayden,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,AR Patel,0.25,0.25,0.0625,0.0625,0.125,0.0,0.125,0.0625,0.0625
ML Hayden,AC Thomas,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
ML Hayden,AG Murtaza,0.3,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1
ML Hayden,A Mishra,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
ML Hayden,A Singh,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
ML Hayden,A Uniyal,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
ML Hayden,A Ashish Reddy,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
ML Hayden,Anand Rajan,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
ML Hayden,AD Russell,0.2,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.1
ML Hayden,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,AB McDonald,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
ML Hayden,A Flintoff,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
ML Hayden,A Symonds,0.3,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1
ML Hayden,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,A Kumble,0.475,0.3,0.05,0.025,0.05,0.0,0.025,0.05,0.025
ML Hayden,AA Chavan,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
ML Hayden,Ankit Sharma,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
ML Hayden,AS Rajpoot,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
ML Hayden,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,A Nehra,0.37037037037037035,0.25925925925925924,0.037037037037037035,0.0,0.14814814814814814,0.0,0.037037037037037035,0.037037037037037035,0.1111111111111111
ML Hayden,AA Noffke,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
ML Hayden,AB Dinda,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
ML Hayden,AL Menaria,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
ML Hayden,Azhar Mahmood,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
ML Hayden,B Akhil,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
ML Hayden,BAW Mendis,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
ML Hayden,BMAJ Mendis,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
ML Hayden,BB Sran,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
ML Hayden,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,BCJ Cutting,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
ML Hayden,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,BE Hendricks,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
ML Hayden,B Chipli,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
ML Hayden,BA Bhatt,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
ML Hayden,B Kumar,0.3,0.25,0.05,0.05,0.15,0.0,0.05,0.05,0.1
ML Hayden,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,Bipul Sharma,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
ML Hayden,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,BJ Hodge,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
ML Hayden,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,B Lee,0.4666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333
ML Hayden,CL White,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
ML Hayden,CR Brathwaite,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
ML Hayden,CK Kapugedera,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
ML Hayden,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,CK Langeveldt,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
ML Hayden,C Nanda,0.26666666666666666,0.2,0.26666666666666666,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.13333333333333333
ML Hayden,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,CH Gayle,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
ML Hayden,CH Morris,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
ML Hayden,CJ Jordan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
ML Hayden,CJ McKay,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
ML Hayden,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,CRD Fernando,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091
ML Hayden,CJ Anderson,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
ML Hayden,DW Steyn,0.5238095238095238,0.11904761904761904,0.07142857142857142,0.023809523809523808,0.023809523809523808,0.0,0.023809523809523808,0.023809523809523808,0.19047619047619047
ML Hayden,DJ Harris,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
ML Hayden,DL Vettori,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
ML Hayden,DT Christian,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
ML Hayden,DJG Sammy,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
ML Hayden,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,DJ Hussey,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
ML Hayden,D Wiese,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
ML Hayden,DJ Hooda,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
ML Hayden,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,DNT Zoysa,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
ML Hayden,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Hayden,DS Kulkarni,0.16666666666666666,0.3888888888888889,0.05555555555555555,0.0,0.16666666666666666,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111
ML Hayden,D du Preez,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
ML Hayden,D Salunkhe,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
