Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
MM Patel,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MM Patel,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AB Agarkar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
MM Patel,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
MM Patel,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AR Patel,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
MM Patel,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
MM Patel,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,A Mishra,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
MM Patel,A Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
MM Patel,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AB McDonald,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
MM Patel,A Flintoff,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
MM Patel,A Symonds,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
MM Patel,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,A Kumble,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
MM Patel,AA Chavan,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
MM Patel,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,A Nehra,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
MM Patel,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,AB Dinda,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MM Patel,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Azhar Mahmood,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
MM Patel,B Akhil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,BB Sran,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
MM Patel,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,BCJ Cutting,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
MM Patel,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,BA Bhatt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
MM Patel,B Kumar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
MM Patel,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MM Patel,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,BJ Hodge,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
MM Patel,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,B Lee,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
MM Patel,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,CR Brathwaite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,CK Langeveldt,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0
MM Patel,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,CH Gayle,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
MM Patel,CH Morris,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,CJ Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,CRD Fernando,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2
MM Patel,CJ Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DW Steyn,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
MM Patel,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DL Vettori,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DJG Sammy,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
MM Patel,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DJ Hussey,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0
MM Patel,D Wiese,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DJ Hooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DNT Zoysa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DS Kulkarni,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
MM Patel,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,D Salunkhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DP Nannes,0.2,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.1
MM Patel,D Kalyankrishna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DJ Thornely,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
MM Patel,DJ Muthuswami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DAJ Bracewell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,DE Bollinger,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
MM Patel,DJ Bravo,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MM Patel,DR Smith,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
MM Patel,FY Fazal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,FH Edwards,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
MM Patel,F du Plessis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,GH Vihari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,GB Hogg,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
MM Patel,GJ Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,GD McGrath,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
MM Patel,GJ Maxwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,GC Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,GR Napier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Gurinder Singh Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Gurkeerat Singh,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Harbhajan Singh,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MM Patel,HH Pandya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Harmeet Singh Baddhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Harmeet Singh,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MM Patel,Harpreet Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,HV Patel,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
MM Patel,HM Amla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,S Randiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,IK Pathan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
MM Patel,I Malhotra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,IR Jaggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,I Sharma,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
MM Patel,IC Pandey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Ishwar Haribhai Chaudhary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,JDP Oram,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
MM Patel,JH Kallis,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
MM Patel,J Suchith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Jagrit Anand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,Jalaj Sahay Saxena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,J Syed Mohammad,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
MM Patel,JDS Neesham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,JEC Franklin,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
MM Patel,JP Faulkner,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
MM Patel,JR Hopes,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
MM Patel,Jaskaran Singh,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
MM Patel,JO Holder,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
MM Patel,JJ Bumrah,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
MM Patel,J Yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Patel,JD Unadkat,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25
MM Patel,JP Duminy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
MM Patel,JE Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
