Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Mohammad Asif,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mohammad Asif,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AB Agarkar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
Mohammad Asif,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Mohammad Asif,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AR Patel,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
Mohammad Asif,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
Mohammad Asif,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,A Mishra,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
Mohammad Asif,A Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Mohammad Asif,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AB McDonald,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Mohammad Asif,A Flintoff,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Mohammad Asif,A Symonds,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
Mohammad Asif,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,A Kumble,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Mohammad Asif,AA Chavan,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Mohammad Asif,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,A Nehra,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
Mohammad Asif,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,AB Dinda,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Mohammad Asif,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,Azhar Mahmood,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Mohammad Asif,B Akhil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,BB Sran,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Mohammad Asif,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,BCJ Cutting,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Mohammad Asif,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,BA Bhatt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Mohammad Asif,B Kumar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
Mohammad Asif,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mohammad Asif,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,BJ Hodge,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Mohammad Asif,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
