Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Mohammad Hafeez,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Mohammad Hafeez,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Hafeez,A Mithun,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Mohammad Hafeez,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Hafeez,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
Mohammad Hafeez,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Mohammad Hafeez,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Mohammad Hafeez,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Hafeez,AN Ahmed,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Mohammad Hafeez,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Mohammad Hafeez,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Hafeez,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Hafeez,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Hafeez,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Mohammad Hafeez,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Mohammad Hafeez,AD Mascarenhas,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
Mohammad Hafeez,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Hafeez,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Hafeez,AB Agarkar,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
Mohammad Hafeez,A Chandila,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Mohammad Hafeez,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Hafeez,AR Patel,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.1
Mohammad Hafeez,AC Thomas,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Mohammad Hafeez,AG Murtaza,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Mohammad Hafeez,A Mishra,0.25,0.3125,0.125,0.0625,0.0625,0.0,0.0625,0.0625,0.0625
Mohammad Hafeez,A Singh,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Mohammad Hafeez,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Mohammad Hafeez,A Ashish Reddy,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
