Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Mohammed Shami,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AD Mascarenhas,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Mohammed Shami,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AB Agarkar,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Mohammed Shami,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AR Patel,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Mohammed Shami,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,A Mishra,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Mohammed Shami,A Singh,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Mohammed Shami,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,A Ashish Reddy,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
Mohammed Shami,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AD Russell,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Mohammed Shami,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,A Symonds,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Mohammed Shami,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,A Kumble,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Mohammed Shami,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,A Nehra,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Mohammed Shami,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,AB Dinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mohammed Shami,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,Azhar Mahmood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,BB Sran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,BA Bhatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,B Kumar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,BJ Hodge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,B Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,CR Brathwaite,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,CK Langeveldt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,CH Gayle,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Mohammed Shami,CH Morris,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
Mohammed Shami,CJ Jordan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,CRD Fernando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,CJ Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,DW Steyn,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Mohammed Shami,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,DL Vettori,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mohammed Shami,DJG Sammy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mohammed Shami,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,DJ Hussey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,D Wiese,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Mohammed Shami,DJ Hooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,DNT Zoysa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,DS Kulkarni,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Mohammed Shami,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,D Salunkhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,DP Nannes,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Mohammed Shami,D Kalyankrishna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,DJ Thornely,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,DJ Muthuswami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
