Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Mohnish Bipinbhai Parmar,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Mohnish Bipinbhai Parmar,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohnish Bipinbhai Parmar,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Mohnish Bipinbhai Parmar,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohnish Bipinbhai Parmar,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohnish Bipinbhai Parmar,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
Mohnish Bipinbhai Parmar,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Mohnish Bipinbhai Parmar,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohnish Bipinbhai Parmar,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
Mohnish Bipinbhai Parmar,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
Mohnish Bipinbhai Parmar,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohnish Bipinbhai Parmar,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohnish Bipinbhai Parmar,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
