Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
N Rana,AJ Finch,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
N Rana,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Rana,A Mithun,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
N Rana,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Rana,AA Jhunjhunwala,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
N Rana,AM Nayar,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
N Rana,AS Raut,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
N Rana,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Rana,AN Ahmed,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
N Rana,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
N Rana,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Rana,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Rana,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Rana,A Zampa,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
N Rana,AP Dole,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
N Rana,AD Mascarenhas,0.3,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1
N Rana,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Rana,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Rana,AB Agarkar,0.25,0.25,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
N Rana,A Chandila,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0
N Rana,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Rana,AR Patel,0.08333333333333333,0.25,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333
N Rana,AC Thomas,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
N Rana,AG Murtaza,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
N Rana,A Mishra,0.2608695652173913,0.30434782608695654,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216
N Rana,A Singh,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
N Rana,A Uniyal,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
N Rana,A Ashish Reddy,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
N Rana,Anand Rajan,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
N Rana,AD Russell,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
N Rana,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Rana,AB McDonald,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
N Rana,A Flintoff,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
N Rana,A Symonds,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
N Rana,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Rana,A Kumble,0.29411764705882354,0.29411764705882354,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
N Rana,AA Chavan,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
N Rana,Ankit Sharma,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
N Rana,AS Rajpoot,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
N Rana,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Rana,A Nehra,0.3157894736842105,0.2631578947368421,0.05263157894736842,0.0,0.15789473684210525,0.0,0.10526315789473684,0.05263157894736842,0.05263157894736842
N Rana,AA Noffke,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
N Rana,AB Dinda,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667
N Rana,AL Menaria,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
N Rana,Azhar Mahmood,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
