Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
NS Naik,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
NS Naik,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NS Naik,A Mithun,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
NS Naik,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NS Naik,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
NS Naik,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
NS Naik,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
NS Naik,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NS Naik,AN Ahmed,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
NS Naik,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
NS Naik,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NS Naik,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NS Naik,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NS Naik,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
NS Naik,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
