Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
NV Ojha,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
NV Ojha,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV Ojha,A Mithun,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
NV Ojha,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV Ojha,AA Jhunjhunwala,0.125,0.25,0.125,0.0,0.125,0.125,0.125,0.0,0.125
NV Ojha,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
NV Ojha,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
NV Ojha,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV Ojha,AN Ahmed,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
NV Ojha,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
NV Ojha,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV Ojha,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV Ojha,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV Ojha,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
NV Ojha,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
NV Ojha,AD Mascarenhas,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
NV Ojha,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV Ojha,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV Ojha,AB Agarkar,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
NV Ojha,A Chandila,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
NV Ojha,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV Ojha,AR Patel,0.17647058823529413,0.47058823529411764,0.058823529411764705,0.0,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
NV Ojha,AC Thomas,0.3333333333333333,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
NV Ojha,AG Murtaza,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.15384615384615385,0.07692307692307693
NV Ojha,A Mishra,0.13043478260869565,0.2608695652173913,0.08695652173913043,0.043478260869565216,0.21739130434782608,0.0,0.13043478260869565,0.08695652173913043,0.043478260869565216
NV Ojha,A Singh,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
NV Ojha,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
NV Ojha,A Ashish Reddy,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
NV Ojha,Anand Rajan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
NV Ojha,AD Russell,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
NV Ojha,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
