Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
P Dogra,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
P Dogra,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,A Mithun,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
P Dogra,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
P Dogra,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
P Dogra,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
P Dogra,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,AN Ahmed,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
P Dogra,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
P Dogra,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
P Dogra,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
P Dogra,AD Mascarenhas,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
P Dogra,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,AB Agarkar,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
P Dogra,A Chandila,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
P Dogra,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,AR Patel,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.1
P Dogra,AC Thomas,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
P Dogra,AG Murtaza,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
P Dogra,A Mishra,0.44,0.28,0.04,0.04,0.08,0.0,0.04,0.04,0.04
P Dogra,A Singh,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
P Dogra,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
P Dogra,A Ashish Reddy,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
P Dogra,Anand Rajan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
P Dogra,AD Russell,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
P Dogra,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,AB McDonald,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
P Dogra,A Flintoff,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
P Dogra,A Symonds,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
P Dogra,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,A Kumble,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
P Dogra,AA Chavan,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
P Dogra,Ankit Sharma,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
P Dogra,AS Rajpoot,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
P Dogra,AUK Pathan,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
P Dogra,A Nehra,0.26666666666666666,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
P Dogra,AA Noffke,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,AB Dinda,0.26666666666666666,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
P Dogra,AL Menaria,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
P Dogra,Azhar Mahmood,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
P Dogra,B Akhil,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
P Dogra,BAW Mendis,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
P Dogra,BMAJ Mendis,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
P Dogra,BB Sran,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
P Dogra,BJ Rohrer,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
P Dogra,B Laughlin,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
P Dogra,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,BCJ Cutting,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
P Dogra,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,BE Hendricks,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
P Dogra,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,BA Bhatt,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
P Dogra,B Kumar,0.35294117647058826,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
P Dogra,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,Bipul Sharma,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
P Dogra,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,BJ Hodge,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
P Dogra,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,B Lee,0.3,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1
P Dogra,CL White,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
