Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
P Kumar,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,A Mithun,0.4,0.1,0.1,0.0,0.2,0.0,0.1,0.0,0.1
P Kumar,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
P Kumar,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
P Kumar,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
P Kumar,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,AB Agarkar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
P Kumar,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
