Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
P Parameswaran,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,AD Mascarenhas,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
P Parameswaran,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,AB Agarkar,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
P Parameswaran,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,AR Patel,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
P Parameswaran,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Parameswaran,A Mishra,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
