Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
P Sahu,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
P Sahu,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
P Sahu,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
P Sahu,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
P Sahu,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
P Sahu,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
P Sahu,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
P Sahu,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
P Sahu,A Chandila,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
P Sahu,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
P Sahu,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
P Sahu,AG Murtaza,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
P Sahu,A Mishra,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
P Sahu,A Singh,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
P Sahu,A Uniyal,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
P Sahu,A Ashish Reddy,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
P Sahu,Anand Rajan,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
P Sahu,AD Russell,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
P Sahu,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
P Sahu,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
P Sahu,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,A Kumble,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
P Sahu,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
P Sahu,Ankit Sharma,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
P Sahu,AS Rajpoot,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
P Sahu,AUK Pathan,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,A Nehra,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
P Sahu,AA Noffke,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
P Sahu,AB Dinda,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
P Sahu,AL Menaria,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
P Sahu,Azhar Mahmood,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
P Sahu,B Akhil,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
P Sahu,BAW Mendis,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
P Sahu,BMAJ Mendis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,BB Sran,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
P Sahu,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,BE Hendricks,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
P Sahu,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,BA Bhatt,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
P Sahu,B Kumar,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
P Sahu,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,BJ Hodge,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
P Sahu,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,B Lee,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
P Sahu,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,CR Brathwaite,0.2,0.2,0.4,0.0,0.0,0.0,0.2,0.0,0.0
P Sahu,CK Kapugedera,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,CK Langeveldt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
P Sahu,C Nanda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,CH Gayle,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
P Sahu,CH Morris,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
P Sahu,CJ Jordan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
P Sahu,CJ McKay,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
P Sahu,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,CRD Fernando,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
P Sahu,CJ Anderson,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
P Sahu,DW Steyn,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
