Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
PA Patel,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
PA Patel,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA Patel,A Mithun,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
PA Patel,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA Patel,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
PA Patel,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
PA Patel,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
PA Patel,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA Patel,AN Ahmed,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
PA Patel,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
PA Patel,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA Patel,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA Patel,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA Patel,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
PA Patel,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
PA Patel,AD Mascarenhas,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0
PA Patel,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA Patel,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA Patel,AB Agarkar,0.28125,0.40625,0.03125,0.03125,0.15625,0.0,0.03125,0.03125,0.03125
PA Patel,A Chandila,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
PA Patel,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA Patel,AR Patel,0.2,0.55,0.05,0.0,0.05,0.0,0.05,0.05,0.05
PA Patel,AC Thomas,0.29411764705882354,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941
PA Patel,AG Murtaza,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
PA Patel,A Mishra,0.2631578947368421,0.3157894736842105,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842
PA Patel,A Singh,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
PA Patel,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
PA Patel,A Ashish Reddy,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
PA Patel,Anand Rajan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
PA Patel,AD Russell,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
PA Patel,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA Patel,AB McDonald,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
