Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
PJ Cummins,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PJ Cummins,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AB Agarkar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
PJ Cummins,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PJ Cummins,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AR Patel,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
PJ Cummins,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
PJ Cummins,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,A Mishra,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
PJ Cummins,A Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
PJ Cummins,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AB McDonald,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PJ Cummins,A Flintoff,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
PJ Cummins,A Symonds,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
PJ Cummins,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,A Kumble,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
PJ Cummins,AA Chavan,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
PJ Cummins,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,A Nehra,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
PJ Cummins,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,AB Dinda,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
PJ Cummins,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,Azhar Mahmood,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
PJ Cummins,B Akhil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,BB Sran,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
PJ Cummins,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,BCJ Cutting,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PJ Cummins,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,BA Bhatt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
PJ Cummins,B Kumar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
PJ Cummins,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PJ Cummins,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
