Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
PJ Sangwan,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PJ Sangwan,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Sangwan,AB Agarkar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
