Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
PM Sarvesh Kumar,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AD Mascarenhas,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
PM Sarvesh Kumar,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AB Agarkar,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
PM Sarvesh Kumar,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AR Patel,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
PM Sarvesh Kumar,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,A Mishra,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
PM Sarvesh Kumar,A Singh,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PM Sarvesh Kumar,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,A Ashish Reddy,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
PM Sarvesh Kumar,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AD Russell,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
PM Sarvesh Kumar,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,A Symonds,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
PM Sarvesh Kumar,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,A Kumble,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PM Sarvesh Kumar,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,A Nehra,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
PM Sarvesh Kumar,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,AB Dinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PM Sarvesh Kumar,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,Azhar Mahmood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,BB Sran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,BA Bhatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,B Kumar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,BJ Hodge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,B Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,CR Brathwaite,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,CK Langeveldt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,CH Gayle,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
PM Sarvesh Kumar,CH Morris,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,CJ Jordan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,CRD Fernando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,CJ Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,DW Steyn,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
PM Sarvesh Kumar,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,DL Vettori,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PM Sarvesh Kumar,DJG Sammy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PM Sarvesh Kumar,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Sarvesh Kumar,DJ Hussey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
