Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
PP Chawla,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
PP Chawla,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
PP Chawla,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PP Chawla,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
PP Chawla,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,AB Agarkar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
PP Chawla,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,AR Patel,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182
PP Chawla,AC Thomas,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
PP Chawla,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
PP Chawla,A Mishra,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
PP Chawla,A Singh,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0
PP Chawla,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
PP Chawla,A Ashish Reddy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
