Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
PR Shah,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
PR Shah,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR Shah,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
PR Shah,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR Shah,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PR Shah,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
PR Shah,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
PR Shah,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR Shah,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
PR Shah,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
PR Shah,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR Shah,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR Shah,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR Shah,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PR Shah,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
PR Shah,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
PR Shah,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR Shah,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR Shah,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
PR Shah,A Chandila,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
PR Shah,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR Shah,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
PR Shah,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
PR Shah,AG Murtaza,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
PR Shah,A Mishra,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
PR Shah,A Singh,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
