Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
PV Tambe,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AD Mascarenhas,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
PV Tambe,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AB Agarkar,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
PV Tambe,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AR Patel,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
PV Tambe,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,A Mishra,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
PV Tambe,A Singh,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PV Tambe,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,A Ashish Reddy,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
PV Tambe,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AD Russell,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
PV Tambe,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,A Symonds,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
PV Tambe,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,A Kumble,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PV Tambe,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,A Nehra,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
PV Tambe,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,AB Dinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PV Tambe,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,Azhar Mahmood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,BB Sran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,BA Bhatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,B Kumar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,BJ Hodge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,B Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,CR Brathwaite,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,CK Langeveldt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,CH Gayle,0.6666666666666666,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0
PV Tambe,CH Morris,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
