Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Pankaj Dharmani,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pankaj Dharmani,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pankaj Dharmani,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
Pankaj Dharmani,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pankaj Dharmani,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pankaj Dharmani,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pankaj Dharmani,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Pankaj Dharmani,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pankaj Dharmani,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
Pankaj Dharmani,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pankaj Dharmani,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pankaj Dharmani,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pankaj Dharmani,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pankaj Dharmani,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Pankaj Dharmani,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pankaj Dharmani,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pankaj Dharmani,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pankaj Dharmani,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pankaj Dharmani,AB Agarkar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
Pankaj Dharmani,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
