Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
R Bishnoi,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,AN Ahmed,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
R Bishnoi,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,A Zampa,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
R Bishnoi,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
R Bishnoi,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,AR Patel,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
R Bishnoi,AC Thomas,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
R Bishnoi,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,A Mishra,0.26666666666666666,0.2,0.13333333333333333,0.0,0.06666666666666667,0.0,0.2,0.06666666666666667,0.06666666666666667
R Bishnoi,A Singh,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,A Ashish Reddy,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,Anand Rajan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
R Bishnoi,AD Russell,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
R Bishnoi,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
R Bishnoi,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,A Symonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,A Kumble,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2
R Bishnoi,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
R Bishnoi,Ankit Sharma,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25
R Bishnoi,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,A Nehra,0.3,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1
R Bishnoi,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,AB Dinda,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
R Bishnoi,AL Menaria,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
R Bishnoi,Azhar Mahmood,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
R Bishnoi,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,BAW Mendis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,BB Sran,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
R Bishnoi,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bishnoi,B Laughlin,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
