Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
R Dravid,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
R Dravid,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Dravid,A Mithun,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
R Dravid,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Dravid,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
R Dravid,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
R Dravid,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
R Dravid,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Dravid,AN Ahmed,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
R Dravid,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
R Dravid,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Dravid,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Dravid,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Dravid,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
R Dravid,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
R Dravid,AD Mascarenhas,0.25,0.125,0.125,0.125,0.25,0.0,0.0,0.125,0.0
R Dravid,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Dravid,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Dravid,AB Agarkar,0.3103448275862069,0.3793103448275862,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.0,0.06896551724137931,0.034482758620689655,0.034482758620689655
R Dravid,A Chandila,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
R Dravid,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Dravid,AR Patel,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.1
R Dravid,AC Thomas,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
R Dravid,AG Murtaza,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
R Dravid,A Mishra,0.23333333333333334,0.4,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.06666666666666667,0.03333333333333333
R Dravid,A Singh,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
R Dravid,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
R Dravid,A Ashish Reddy,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
R Dravid,Anand Rajan,0.25,0.125,0.125,0.0,0.25,0.0,0.0,0.125,0.125
R Dravid,AD Russell,0.25,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
R Dravid,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Dravid,AB McDonald,0.15384615384615385,0.46153846153846156,0.15384615384615385,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0
R Dravid,A Flintoff,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111
R Dravid,A Symonds,0.2903225806451613,0.45161290322580644,0.03225806451612903,0.0,0.12903225806451613,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903
R Dravid,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Dravid,A Kumble,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.1
R Dravid,AA Chavan,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
R Dravid,Ankit Sharma,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
R Dravid,AS Rajpoot,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
R Dravid,AUK Pathan,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
R Dravid,A Nehra,0.4473684210526316,0.23684210526315788,0.02631578947368421,0.02631578947368421,0.15789473684210525,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421
R Dravid,AA Noffke,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Dravid,AB Dinda,0.3333333333333333,0.25925925925925924,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.07407407407407407
R Dravid,AL Menaria,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
R Dravid,Azhar Mahmood,0.47058823529411764,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
R Dravid,B Akhil,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
R Dravid,BAW Mendis,0.16666666666666666,0.5,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333
R Dravid,BMAJ Mendis,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
R Dravid,BB Sran,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
R Dravid,BJ Rohrer,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
R Dravid,B Laughlin,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
R Dravid,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Dravid,BCJ Cutting,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
R Dravid,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Dravid,BE Hendricks,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
