Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
R McLaren,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,A Mithun,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
R McLaren,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
R McLaren,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
R McLaren,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
R McLaren,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
R McLaren,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
R McLaren,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
R McLaren,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
R McLaren,A Chandila,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
R McLaren,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
R McLaren,AC Thomas,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
R McLaren,AG Murtaza,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
R McLaren,A Mishra,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
R McLaren,A Singh,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
R McLaren,A Uniyal,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
R McLaren,A Ashish Reddy,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
R McLaren,Anand Rajan,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
R McLaren,AD Russell,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
R McLaren,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
R McLaren,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,A Symonds,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
R McLaren,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,A Kumble,0.1875,0.4375,0.0625,0.0,0.125,0.0,0.0625,0.0625,0.0625
R McLaren,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
R McLaren,Ankit Sharma,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
R McLaren,AS Rajpoot,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
R McLaren,AUK Pathan,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,A Nehra,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
R McLaren,AA Noffke,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
R McLaren,AB Dinda,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222
R McLaren,AL Menaria,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
R McLaren,Azhar Mahmood,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
R McLaren,B Akhil,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
R McLaren,BAW Mendis,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
R McLaren,BMAJ Mendis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,BB Sran,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
R McLaren,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,BE Hendricks,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
R McLaren,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,BA Bhatt,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
R McLaren,B Kumar,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
R McLaren,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,BJ Hodge,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
R McLaren,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,B Lee,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
R McLaren,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,CR Brathwaite,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
R McLaren,CK Kapugedera,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,CK Langeveldt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
R McLaren,C Nanda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,CH Gayle,0.07692307692307693,0.5384615384615384,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693
R McLaren,CH Morris,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
R McLaren,CJ Jordan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
R McLaren,CJ McKay,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
R McLaren,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R McLaren,CRD Fernando,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
