Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
R Ninan,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AD Mascarenhas,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
R Ninan,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AB Agarkar,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
R Ninan,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AR Patel,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
R Ninan,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,A Mishra,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
R Ninan,A Singh,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
R Ninan,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,A Ashish Reddy,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
R Ninan,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AD Russell,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
R Ninan,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,A Symonds,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
R Ninan,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,A Kumble,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
R Ninan,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,A Nehra,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
R Ninan,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,AB Dinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
R Ninan,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,Azhar Mahmood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,BB Sran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,BA Bhatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,B Kumar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,BJ Hodge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,B Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,CR Brathwaite,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,CK Langeveldt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,CH Gayle,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
R Ninan,CH Morris,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
R Ninan,CJ Jordan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,CRD Fernando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,CJ Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,DW Steyn,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
R Ninan,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,DL Vettori,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
R Ninan,DJG Sammy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
R Ninan,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,DJ Hussey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ninan,D Wiese,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
