Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
R Sathish,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
R Sathish,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
R Sathish,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
R Sathish,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
R Sathish,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,AB Agarkar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
R Sathish,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
R Sathish,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
R Sathish,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
R Sathish,A Mishra,0.35714285714285715,0.21428571428571427,0.07142857142857142,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142
R Sathish,A Singh,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
R Sathish,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
R Sathish,A Ashish Reddy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
R Sathish,Anand Rajan,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
R Sathish,AD Russell,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
R Sathish,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,AB McDonald,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,A Symonds,0.125,0.25,0.125,0.125,0.125,0.0,0.125,0.125,0.0
R Sathish,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,A Kumble,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
R Sathish,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,Ankit Sharma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,A Nehra,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
R Sathish,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,AB Dinda,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
R Sathish,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
