Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
RE van der Merwe,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
RE van der Merwe,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,AS Raut,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
RE van der Merwe,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RE van der Merwe,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
RE van der Merwe,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,AB Agarkar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
RE van der Merwe,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,AR Patel,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RE van der Merwe,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
RE van der Merwe,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
RE van der Merwe,A Mishra,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
RE van der Merwe,A Singh,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
RE van der Merwe,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
RE van der Merwe,A Ashish Reddy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
RE van der Merwe,Anand Rajan,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
RE van der Merwe,AD Russell,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
RE van der Merwe,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,AB McDonald,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,A Symonds,0.3333333333333333,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0
RE van der Merwe,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,A Kumble,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RE van der Merwe,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,Ankit Sharma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,A Nehra,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
RE van der Merwe,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,AB Dinda,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RE van der Merwe,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,Azhar Mahmood,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
RE van der Merwe,B Akhil,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,BAW Mendis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,BB Sran,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
RE van der Merwe,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,B Laughlin,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
RE van der Merwe,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,BCJ Cutting,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
