Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
RG More,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AD Mascarenhas,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
RG More,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AB Agarkar,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
RG More,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AR Patel,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
RG More,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,A Mishra,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
RG More,A Singh,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
RG More,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,A Ashish Reddy,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
RG More,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AD Russell,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25
RG More,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,A Symonds,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
RG More,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,A Kumble,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
RG More,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,A Nehra,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
RG More,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,AB Dinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RG More,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,Azhar Mahmood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,BB Sran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,BA Bhatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,B Kumar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,BJ Hodge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,B Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,CR Brathwaite,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,CK Langeveldt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,CH Gayle,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
RG More,CH Morris,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
RG More,CJ Jordan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,CRD Fernando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,CJ Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DW Steyn,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
RG More,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DL Vettori,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RG More,DJG Sammy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RG More,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DJ Hussey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,D Wiese,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
RG More,DJ Hooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DNT Zoysa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DS Kulkarni,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
RG More,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,D Salunkhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DP Nannes,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
RG More,D Kalyankrishna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DJ Thornely,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DJ Muthuswami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DAJ Bracewell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DE Bollinger,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,DJ Bravo,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
RG More,DR Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,FY Fazal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,FH Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,F du Plessis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,GH Vihari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG More,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
