Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
RJ Harris,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,A Mithun,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
RJ Harris,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
RJ Harris,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
RJ Harris,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
RJ Harris,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
RJ Harris,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
RJ Harris,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RJ Harris,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
RJ Harris,A Chandila,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
RJ Harris,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RJ Harris,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RJ Harris,AG Murtaza,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
RJ Harris,A Mishra,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
RJ Harris,A Singh,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
RJ Harris,A Uniyal,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
RJ Harris,A Ashish Reddy,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
RJ Harris,Anand Rajan,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
RJ Harris,AD Russell,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
RJ Harris,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
RJ Harris,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,A Symonds,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RJ Harris,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,A Kumble,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
RJ Harris,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RJ Harris,Ankit Sharma,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
RJ Harris,AS Rajpoot,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
RJ Harris,AUK Pathan,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,A Nehra,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
RJ Harris,AA Noffke,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
RJ Harris,AB Dinda,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RJ Harris,AL Menaria,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
RJ Harris,Azhar Mahmood,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RJ Harris,B Akhil,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
RJ Harris,BAW Mendis,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
RJ Harris,BMAJ Mendis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,BB Sran,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
RJ Harris,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,BE Hendricks,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
RJ Harris,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,BA Bhatt,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
RJ Harris,B Kumar,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
RJ Harris,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,BJ Hodge,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
RJ Harris,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,B Lee,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RJ Harris,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,CR Brathwaite,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
RJ Harris,CK Kapugedera,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,CK Langeveldt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
RJ Harris,C Nanda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Harris,CH Gayle,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111
RJ Harris,CH Morris,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
