Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
RN ten Doeschate,AJ Finch,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
RN ten Doeschate,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,A Mithun,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
RN ten Doeschate,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,AA Jhunjhunwala,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
RN ten Doeschate,AM Nayar,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RN ten Doeschate,AS Raut,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
RN ten Doeschate,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,AN Ahmed,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
RN ten Doeschate,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
RN ten Doeschate,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,A Zampa,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
RN ten Doeschate,AP Dole,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
RN ten Doeschate,AD Mascarenhas,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RN ten Doeschate,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,AB Agarkar,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385
RN ten Doeschate,A Chandila,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0
RN ten Doeschate,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,AR Patel,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142
RN ten Doeschate,AC Thomas,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
RN ten Doeschate,AG Murtaza,0.1111111111111111,0.5,0.05555555555555555,0.0,0.16666666666666666,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555
RN ten Doeschate,A Mishra,0.2857142857142857,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.0,0.09523809523809523,0.047619047619047616,0.047619047619047616
RN ten Doeschate,A Singh,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RN ten Doeschate,A Uniyal,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
RN ten Doeschate,A Ashish Reddy,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RN ten Doeschate,Anand Rajan,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
RN ten Doeschate,AD Russell,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
RN ten Doeschate,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,AB McDonald,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
RN ten Doeschate,A Flintoff,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
RN ten Doeschate,A Symonds,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
RN ten Doeschate,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,A Kumble,0.3,0.3,0.1,0.05,0.1,0.0,0.05,0.05,0.05
RN ten Doeschate,AA Chavan,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RN ten Doeschate,Ankit Sharma,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
RN ten Doeschate,AS Rajpoot,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
RN ten Doeschate,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,A Nehra,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
RN ten Doeschate,AA Noffke,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
RN ten Doeschate,AB Dinda,0.25,0.25,0.0625,0.0625,0.1875,0.0,0.0625,0.0625,0.0625
RN ten Doeschate,AL Menaria,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
RN ten Doeschate,Azhar Mahmood,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
RN ten Doeschate,B Akhil,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0
RN ten Doeschate,BAW Mendis,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RN ten Doeschate,BMAJ Mendis,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
RN ten Doeschate,BB Sran,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
RN ten Doeschate,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,BCJ Cutting,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
RN ten Doeschate,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,BE Hendricks,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RN ten Doeschate,B Chipli,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
RN ten Doeschate,BA Bhatt,0.125,0.375,0.125,0.0,0.125,0.0,0.0,0.125,0.125
RN ten Doeschate,B Kumar,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285
RN ten Doeschate,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,Bipul Sharma,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
RN ten Doeschate,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,BJ Hodge,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
RN ten Doeschate,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,B Lee,0.3333333333333333,0.2,0.06666666666666667,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333
RN ten Doeschate,CL White,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
RN ten Doeschate,CR Brathwaite,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
RN ten Doeschate,CK Kapugedera,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
RN ten Doeschate,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,CK Langeveldt,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RN ten Doeschate,C Nanda,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
RN ten Doeschate,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,CH Gayle,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
RN ten Doeschate,CH Morris,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
RN ten Doeschate,CJ Jordan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RN ten Doeschate,CJ McKay,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
RN ten Doeschate,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,CRD Fernando,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
RN ten Doeschate,CJ Anderson,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RN ten Doeschate,DW Steyn,0.23529411764705882,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.0,0.11764705882352941,0.058823529411764705,0.058823529411764705
RN ten Doeschate,DJ Harris,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
RN ten Doeschate,DL Vettori,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
RN ten Doeschate,DT Christian,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
RN ten Doeschate,DJG Sammy,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RN ten Doeschate,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,DJ Hussey,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.1
RN ten Doeschate,D Wiese,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RN ten Doeschate,DJ Hooda,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
RN ten Doeschate,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,DNT Zoysa,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
RN ten Doeschate,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,DS Kulkarni,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
RN ten Doeschate,D du Preez,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
RN ten Doeschate,D Salunkhe,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
RN ten Doeschate,DP Nannes,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
RN ten Doeschate,D Kalyankrishna,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
RN ten Doeschate,DJ Thornely,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
RN ten Doeschate,DJ Muthuswami,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
RN ten Doeschate,DAJ Bracewell,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
RN ten Doeschate,DE Bollinger,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
RN ten Doeschate,DJ Bravo,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667
RN ten Doeschate,DR Smith,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
RN ten Doeschate,FY Fazal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,FH Edwards,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
RN ten Doeschate,F du Plessis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,GH Vihari,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
RN ten Doeschate,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,GB Hogg,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
RN ten Doeschate,GJ Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,GD McGrath,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
RN ten Doeschate,GJ Maxwell,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
RN ten Doeschate,GC Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,GR Napier,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,Gurinder Singh Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN ten Doeschate,Gurkeerat Singh,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
RN ten Doeschate,Harbhajan Singh,0.23809523809523808,0.3333333333333333,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.0,0.09523809523809523,0.09523809523809523,0.047619047619047616
RN ten Doeschate,HH Pandya,0.125,0.25,0.125,0.125,0.125,0.0,0.125,0.0,0.125
RN ten Doeschate,Harmeet Singh Baddhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
