Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
RR Powar,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,A Mithun,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
RR Powar,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
RR Powar,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
RR Powar,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
RR Powar,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
RR Powar,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
RR Powar,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RR Powar,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
RR Powar,A Chandila,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
RR Powar,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RR Powar,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RR Powar,AG Murtaza,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
RR Powar,A Mishra,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
RR Powar,A Singh,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
RR Powar,A Uniyal,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
RR Powar,A Ashish Reddy,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
RR Powar,Anand Rajan,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
RR Powar,AD Russell,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
RR Powar,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
RR Powar,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RR Powar,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,A Kumble,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RR Powar,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RR Powar,Ankit Sharma,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
RR Powar,AS Rajpoot,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
RR Powar,AUK Pathan,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,A Nehra,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
RR Powar,AA Noffke,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
RR Powar,AB Dinda,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RR Powar,AL Menaria,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
RR Powar,Azhar Mahmood,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RR Powar,B Akhil,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
RR Powar,BAW Mendis,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
RR Powar,BMAJ Mendis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,BB Sran,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
RR Powar,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,BE Hendricks,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
RR Powar,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,BA Bhatt,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
RR Powar,B Kumar,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
RR Powar,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,BJ Hodge,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
RR Powar,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,B Lee,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RR Powar,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,CR Brathwaite,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
RR Powar,CK Kapugedera,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,CK Langeveldt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
RR Powar,C Nanda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,CH Gayle,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
RR Powar,CH Morris,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
RR Powar,CJ Jordan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
RR Powar,CJ McKay,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
RR Powar,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,CRD Fernando,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
RR Powar,CJ Anderson,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
RR Powar,DW Steyn,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
RR Powar,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,DL Vettori,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RR Powar,DT Christian,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
RR Powar,DJG Sammy,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0
RR Powar,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,DJ Hussey,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
RR Powar,D Wiese,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
RR Powar,DJ Hooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,DNT Zoysa,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
RR Powar,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,DS Kulkarni,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
RR Powar,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,D Salunkhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,DP Nannes,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RR Powar,D Kalyankrishna,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
RR Powar,DJ Thornely,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
RR Powar,DJ Muthuswami,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,DAJ Bracewell,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,DE Bollinger,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
RR Powar,DJ Bravo,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RR Powar,DR Smith,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RR Powar,FY Fazal,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
RR Powar,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,FH Edwards,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,F du Plessis,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
RR Powar,GH Vihari,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
RR Powar,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,GB Hogg,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
RR Powar,GJ Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,GD McGrath,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
RR Powar,GJ Maxwell,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,GC Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,GR Napier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,Gurinder Singh Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,Gurkeerat Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Powar,Harbhajan Singh,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
RR Powar,HH Pandya,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
