Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
RS Bopara,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
RS Bopara,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS Bopara,A Mithun,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
RS Bopara,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS Bopara,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
RS Bopara,AM Nayar,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
RS Bopara,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
RS Bopara,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS Bopara,AN Ahmed,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
RS Bopara,AC Voges,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0
RS Bopara,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS Bopara,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS Bopara,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS Bopara,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RS Bopara,AP Dole,0.16666666666666666,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
RS Bopara,AD Mascarenhas,0.25,0.25,0.125,0.125,0.125,0.0,0.0,0.125,0.0
RS Bopara,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS Bopara,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS Bopara,AB Agarkar,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
RS Bopara,A Chandila,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
RS Bopara,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS Bopara,AR Patel,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.1
RS Bopara,AC Thomas,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
RS Bopara,AG Murtaza,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
RS Bopara,A Mishra,0.28,0.44,0.04,0.04,0.08,0.0,0.04,0.04,0.04
