Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
S Anirudha,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
S Anirudha,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Anirudha,A Mithun,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
S Anirudha,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Anirudha,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
S Anirudha,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
S Anirudha,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
S Anirudha,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Anirudha,AN Ahmed,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
S Anirudha,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
S Anirudha,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Anirudha,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Anirudha,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Anirudha,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
S Anirudha,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
S Anirudha,AD Mascarenhas,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
S Anirudha,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Anirudha,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Anirudha,AB Agarkar,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
