Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
S Dhawan,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
S Dhawan,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Dhawan,A Mithun,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
S Dhawan,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Dhawan,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
S Dhawan,AM Nayar,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
S Dhawan,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
S Dhawan,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Dhawan,AN Ahmed,0.48,0.28,0.04,0.0,0.04,0.0,0.08,0.04,0.04
S Dhawan,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
S Dhawan,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Dhawan,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Dhawan,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Dhawan,A Zampa,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
S Dhawan,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
S Dhawan,AD Mascarenhas,0.25,0.25,0.125,0.125,0.125,0.0,0.0,0.125,0.0
S Dhawan,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Dhawan,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Dhawan,AB Agarkar,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
S Dhawan,A Chandila,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0
S Dhawan,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Dhawan,AR Patel,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
S Dhawan,AC Thomas,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
S Dhawan,AG Murtaza,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
S Dhawan,A Mishra,0.29411764705882354,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
S Dhawan,A Singh,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
S Dhawan,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
S Dhawan,A Ashish Reddy,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
S Dhawan,Anand Rajan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
S Dhawan,AD Russell,0.23529411764705882,0.29411764705882354,0.058823529411764705,0.0,0.23529411764705882,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
S Dhawan,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Dhawan,AB McDonald,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
S Dhawan,A Flintoff,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
S Dhawan,A Symonds,0.35714285714285715,0.21428571428571427,0.07142857142857142,0.0,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
S Dhawan,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Dhawan,A Kumble,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
S Dhawan,AA Chavan,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
S Dhawan,Ankit Sharma,0.2,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.1
S Dhawan,AS Rajpoot,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
S Dhawan,AUK Pathan,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
S Dhawan,A Nehra,0.34210526315789475,0.34210526315789475,0.02631578947368421,0.02631578947368421,0.15789473684210525,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421
S Dhawan,AA Noffke,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Dhawan,AB Dinda,0.525,0.15,0.05,0.025,0.125,0.025,0.025,0.025,0.05
S Dhawan,AL Menaria,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
S Dhawan,Azhar Mahmood,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
S Dhawan,B Akhil,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
S Dhawan,BAW Mendis,0.125,0.25,0.25,0.0,0.125,0.0,0.0,0.125,0.125
S Dhawan,BMAJ Mendis,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
S Dhawan,BB Sran,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
S Dhawan,BJ Rohrer,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
