Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
S Narwal,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,AN Ahmed,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
S Narwal,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,A Zampa,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
S Narwal,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,AB Agarkar,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
S Narwal,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,AR Patel,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
S Narwal,AC Thomas,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
S Narwal,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,A Mishra,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.16666666666666666,0.05555555555555555,0.1111111111111111
S Narwal,A Singh,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,A Ashish Reddy,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,Anand Rajan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
S Narwal,AD Russell,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
S Narwal,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
S Narwal,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,A Symonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,A Kumble,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
S Narwal,AA Chavan,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
S Narwal,Ankit Sharma,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25
S Narwal,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,A Nehra,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091
S Narwal,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,AB Dinda,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
S Narwal,AL Menaria,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
S Narwal,Azhar Mahmood,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
S Narwal,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,BAW Mendis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,BB Sran,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
S Narwal,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,B Laughlin,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
S Narwal,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,BE Hendricks,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
S Narwal,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,BA Bhatt,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
S Narwal,B Kumar,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
S Narwal,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,Bipul Sharma,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
S Narwal,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,BJ Hodge,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,B Lee,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
S Narwal,CL White,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
S Narwal,CR Brathwaite,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
S Narwal,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,CK Langeveldt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,CH Gayle,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
S Narwal,CH Morris,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.125
S Narwal,CJ Jordan,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
S Narwal,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,CRD Fernando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,CJ Anderson,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
S Narwal,DW Steyn,0.3076923076923077,0.23076923076923078,0.15384615384615385,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
S Narwal,DJ Harris,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Narwal,DL Vettori,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
S Narwal,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S Narwal,DJG Sammy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
