Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
S Sreesanth,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S Sreesanth,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AB Agarkar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
S Sreesanth,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
S Sreesanth,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AR Patel,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
S Sreesanth,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
S Sreesanth,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,A Mishra,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
S Sreesanth,A Singh,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0
S Sreesanth,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AB McDonald,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
S Sreesanth,A Flintoff,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
S Sreesanth,A Symonds,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
S Sreesanth,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,A Kumble,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
S Sreesanth,AA Chavan,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
S Sreesanth,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,A Nehra,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
S Sreesanth,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,AB Dinda,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
S Sreesanth,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,Azhar Mahmood,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
S Sreesanth,B Akhil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,BB Sran,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
S Sreesanth,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,BCJ Cutting,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
S Sreesanth,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,BA Bhatt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
S Sreesanth,B Kumar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
S Sreesanth,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S Sreesanth,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,BJ Hodge,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
S Sreesanth,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,B Lee,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
S Sreesanth,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,CR Brathwaite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,CK Langeveldt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
S Sreesanth,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,CH Gayle,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
S Sreesanth,CH Morris,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,CJ Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,CRD Fernando,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2
S Sreesanth,CJ Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Sreesanth,DW Steyn,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
