Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
S Tyagi,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AD Mascarenhas,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
S Tyagi,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AB Agarkar,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
S Tyagi,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AR Patel,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
S Tyagi,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,A Mishra,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
S Tyagi,A Singh,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
S Tyagi,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,A Ashish Reddy,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
S Tyagi,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AD Russell,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
S Tyagi,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,A Symonds,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.0
S Tyagi,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,A Kumble,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
S Tyagi,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,A Nehra,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
S Tyagi,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,AB Dinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S Tyagi,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Azhar Mahmood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,BB Sran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,BA Bhatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,B Kumar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,BJ Hodge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,B Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,CR Brathwaite,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,CK Langeveldt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,CH Gayle,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
S Tyagi,CH Morris,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
S Tyagi,CJ Jordan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,CRD Fernando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,CJ Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DW Steyn,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
S Tyagi,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DL Vettori,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S Tyagi,DJG Sammy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S Tyagi,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DJ Hussey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,D Wiese,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
S Tyagi,DJ Hooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DNT Zoysa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DS Kulkarni,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
S Tyagi,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,D Salunkhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DP Nannes,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
S Tyagi,D Kalyankrishna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DJ Thornely,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DJ Muthuswami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DAJ Bracewell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DE Bollinger,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,DJ Bravo,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
S Tyagi,DR Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,FY Fazal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,FH Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,F du Plessis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,GH Vihari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,GB Hogg,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,GJ Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,GD McGrath,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
S Tyagi,GJ Maxwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,GC Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,GR Napier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Gurinder Singh Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Gurkeerat Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Harbhajan Singh,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
S Tyagi,HH Pandya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Harmeet Singh Baddhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Harmeet Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
S Tyagi,Harpreet Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,HV Patel,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,HM Amla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,S Randiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,IK Pathan,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0
S Tyagi,I Malhotra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,IR Jaggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,I Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,IC Pandey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Ishwar Haribhai Chaudhary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,JDP Oram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,JH Kallis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,J Suchith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Jagrit Anand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Jalaj Sahay Saxena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,J Syed Mohammad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,JDS Neesham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,JEC Franklin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,JP Faulkner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S Tyagi,JR Hopes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Jaskaran Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,JO Holder,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,JJ Bumrah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S Tyagi,J Yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,JD Unadkat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,JP Duminy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,JE Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,JD Ryder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Joginder Sharma,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,J Botha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,JA Morkel,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
S Tyagi,JJ van der Wath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,John Wayne Hastings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,J Theron,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,JM Kemp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Kamran Khan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,KS Williamson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,KW Richardson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S Tyagi,K Goel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Karanveer Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,KV Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,KK Nair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Anureet Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,KM Jadhav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,KAJ Roach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,KP Pietersen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,KK Cooper,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
S Tyagi,Abdur Razzak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,KA Pollard,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
S Tyagi,KB Arun Karthik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,KC Cariappa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,KP Appanna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,KD Karthik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Krishmar Santokie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,K Upadhyay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,KH Pandya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,KMDN Kulasekara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,Kuldeep Yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,KJ Abbott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,L Balaji,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
S Tyagi,LR Shukla,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
S Tyagi,LA Carseldine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,LMP Simmons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,LPC Silva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,L Ablish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,LJ Wright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Tyagi,LRPL Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
