Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
S Vidyut,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
S Vidyut,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
S Vidyut,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S Vidyut,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
S Vidyut,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,AB Agarkar,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285
S Vidyut,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,AR Patel,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
S Vidyut,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
S Vidyut,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
S Vidyut,A Mishra,0.3,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1
S Vidyut,A Singh,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0
S Vidyut,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
S Vidyut,A Ashish Reddy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
S Vidyut,Anand Rajan,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
S Vidyut,AD Russell,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
S Vidyut,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,AB McDonald,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,A Symonds,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0
S Vidyut,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,A Kumble,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
S Vidyut,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,Ankit Sharma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,A Nehra,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
S Vidyut,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,AB Dinda,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
S Vidyut,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,Azhar Mahmood,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
S Vidyut,B Akhil,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,BAW Mendis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,BB Sran,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
S Vidyut,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,B Laughlin,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
S Vidyut,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,BCJ Cutting,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
S Vidyut,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,BE Hendricks,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
S Vidyut,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,BA Bhatt,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
S Vidyut,B Kumar,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
S Vidyut,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,BJ Hodge,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
S Vidyut,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,B Lee,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.0,0.125
S Vidyut,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,CR Brathwaite,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
S Vidyut,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,CK Langeveldt,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,C Nanda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,CH Gayle,0.25,0.25,0.0,0.0,0.125,0.0,0.125,0.125,0.125
S Vidyut,CH Morris,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
S Vidyut,CJ Jordan,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
S Vidyut,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,C Munro,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
S Vidyut,CRD Fernando,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
S Vidyut,CJ Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,DW Steyn,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.125
S Vidyut,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,DL Vettori,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
S Vidyut,DT Christian,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
S Vidyut,DJG Sammy,0.25,0.25,0.0,0.0,0.125,0.0,0.125,0.125,0.125
S Vidyut,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,DJ Hussey,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
S Vidyut,D Wiese,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
S Vidyut,DJ Hooda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,DNT Zoysa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,DS Kulkarni,0.2,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.2
S Vidyut,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Vidyut,D Salunkhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
