Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
SB Bangar,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
SB Bangar,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
SB Bangar,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SB Bangar,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
SB Bangar,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,AB Agarkar,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
SB Bangar,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Bangar,AR Patel,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
SB Bangar,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
SB Bangar,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
SB Bangar,A Mishra,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
SB Bangar,A Singh,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
SB Bangar,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
