Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
SB Jakati,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SB Jakati,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Jakati,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SB Jakati,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Jakati,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Jakati,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
SB Jakati,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
SB Jakati,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Jakati,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
SB Jakati,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
SB Jakati,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Jakati,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Jakati,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Jakati,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
SB Jakati,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
SB Jakati,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
SB Jakati,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Jakati,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Jakati,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
SB Jakati,A Chandila,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
SB Jakati,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Jakati,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
SB Jakati,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
SB Jakati,AG Murtaza,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
SB Jakati,A Mishra,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
SB Jakati,A Singh,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
SB Jakati,A Uniyal,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
SB Jakati,A Ashish Reddy,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
SB Jakati,Anand Rajan,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
SB Jakati,AD Russell,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
SB Jakati,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Jakati,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
SB Jakati,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Jakati,A Symonds,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
