Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
SE Marsh,AJ Finch,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
SE Marsh,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE Marsh,A Mithun,0.18181818181818182,0.45454545454545453,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091
SE Marsh,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE Marsh,AA Jhunjhunwala,0.25,0.4166666666666667,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333
SE Marsh,AM Nayar,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
SE Marsh,AS Raut,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
SE Marsh,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE Marsh,AN Ahmed,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.0,0.21428571428571427,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285
SE Marsh,AC Voges,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
SE Marsh,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE Marsh,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE Marsh,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE Marsh,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
SE Marsh,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
SE Marsh,AD Mascarenhas,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.125
SE Marsh,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE Marsh,AM Rahane,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
SE Marsh,AB Agarkar,0.18181818181818182,0.4090909090909091,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
SE Marsh,A Chandila,0.26666666666666666,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667
SE Marsh,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE Marsh,AR Patel,0.3076923076923077,0.3076923076923077,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
SE Marsh,AC Thomas,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
SE Marsh,AG Murtaza,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
