Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
SK Trivedi,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SK Trivedi,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AB Agarkar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
SK Trivedi,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
SK Trivedi,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AR Patel,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
SK Trivedi,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
SK Trivedi,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,A Mishra,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
SK Trivedi,A Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
SK Trivedi,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AB McDonald,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
SK Trivedi,A Flintoff,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
SK Trivedi,A Symonds,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
SK Trivedi,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,A Kumble,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
SK Trivedi,AA Chavan,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
SK Trivedi,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,A Nehra,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111
SK Trivedi,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,AB Dinda,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
SK Trivedi,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,Azhar Mahmood,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
SK Trivedi,B Akhil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,BB Sran,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
SK Trivedi,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,BCJ Cutting,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
SK Trivedi,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,BA Bhatt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
SK Trivedi,B Kumar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
SK Trivedi,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SK Trivedi,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,BJ Hodge,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
SK Trivedi,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,B Lee,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
SK Trivedi,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,CR Brathwaite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,CK Langeveldt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
SK Trivedi,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,CH Gayle,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
SK Trivedi,CH Morris,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SK Trivedi,CJ Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
