Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
SL Malinga,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SL Malinga,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AB Agarkar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
SL Malinga,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
SL Malinga,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AR Patel,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
SL Malinga,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
SL Malinga,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,A Mishra,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
SL Malinga,A Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
SL Malinga,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AB McDonald,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
SL Malinga,A Flintoff,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
SL Malinga,A Symonds,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
SL Malinga,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,A Kumble,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
SL Malinga,AA Chavan,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
SL Malinga,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,A Nehra,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
SL Malinga,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,AB Dinda,0.3076923076923077,0.3076923076923077,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
SL Malinga,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,Azhar Mahmood,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
SL Malinga,B Akhil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,BB Sran,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
SL Malinga,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,BCJ Cutting,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
SL Malinga,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,BA Bhatt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
SL Malinga,B Kumar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
SL Malinga,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SL Malinga,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,BJ Hodge,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
SL Malinga,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,B Lee,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
SL Malinga,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,CR Brathwaite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,CK Langeveldt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
SL Malinga,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,CH Gayle,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
SL Malinga,CH Morris,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,CJ Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,CRD Fernando,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2
SL Malinga,CJ Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,DW Steyn,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
SL Malinga,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,DL Vettori,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL Malinga,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
