Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Sachin Baby,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
Sachin Baby,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
Sachin Baby,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sachin Baby,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Sachin Baby,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,AB Agarkar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
Sachin Baby,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Baby,AR Patel,0.2,0.2,0.2,0.0,0.1,0.0,0.1,0.1,0.1
Sachin Baby,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
Sachin Baby,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Sachin Baby,A Mishra,0.3,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1
Sachin Baby,A Singh,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Sachin Baby,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
Sachin Baby,A Ashish Reddy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
