Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Sandeep Sharma,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AD Mascarenhas,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Sandeep Sharma,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AB Agarkar,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Sandeep Sharma,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AR Patel,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Sandeep Sharma,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,A Mishra,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Sandeep Sharma,A Singh,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Sandeep Sharma,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,A Ashish Reddy,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
Sandeep Sharma,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AD Russell,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Sandeep Sharma,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,A Symonds,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Sandeep Sharma,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,A Kumble,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Sandeep Sharma,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,A Nehra,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Sandeep Sharma,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,AB Dinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sandeep Sharma,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Azhar Mahmood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,BB Sran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,BA Bhatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,B Kumar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,BJ Hodge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,B Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,CR Brathwaite,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,CK Langeveldt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,CH Gayle,0.16666666666666666,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
Sandeep Sharma,CH Morris,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
Sandeep Sharma,CJ Jordan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,CRD Fernando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,CJ Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DW Steyn,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Sandeep Sharma,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DL Vettori,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sandeep Sharma,DJG Sammy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sandeep Sharma,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DJ Hussey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,D Wiese,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Sandeep Sharma,DJ Hooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DNT Zoysa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DS Kulkarni,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Sandeep Sharma,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,D Salunkhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DP Nannes,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Sandeep Sharma,D Kalyankrishna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DJ Thornely,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DJ Muthuswami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DAJ Bracewell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DE Bollinger,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,DJ Bravo,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
Sandeep Sharma,DR Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,FY Fazal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,FH Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,F du Plessis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,GH Vihari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,GB Hogg,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,GJ Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,GD McGrath,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
Sandeep Sharma,GJ Maxwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,GC Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,GR Napier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Gurinder Singh Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Gurkeerat Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Harbhajan Singh,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
Sandeep Sharma,HH Pandya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Harmeet Singh Baddhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Harmeet Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Sandeep Sharma,Harpreet Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,HV Patel,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,HM Amla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,S Randiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,IK Pathan,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Sandeep Sharma,I Malhotra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,IR Jaggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,I Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,IC Pandey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Ishwar Haribhai Chaudhary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,JDP Oram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,JH Kallis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,J Suchith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Jagrit Anand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Jalaj Sahay Saxena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,J Syed Mohammad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,JDS Neesham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,JEC Franklin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,JP Faulkner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sandeep Sharma,JR Hopes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Jaskaran Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,JO Holder,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,JJ Bumrah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sandeep Sharma,J Yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,JD Unadkat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,JP Duminy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,JE Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,JD Ryder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Joginder Sharma,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,J Botha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,JA Morkel,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Sandeep Sharma,JJ van der Wath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,John Wayne Hastings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,J Theron,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,JM Kemp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Kamran Khan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,KS Williamson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,KW Richardson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sandeep Sharma,K Goel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Karanveer Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,KV Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,KK Nair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Anureet Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,KM Jadhav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,KAJ Roach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,KP Pietersen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,KK Cooper,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Sandeep Sharma,Abdur Razzak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,KA Pollard,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Sandeep Sharma,KB Arun Karthik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,KC Cariappa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,KP Appanna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,KD Karthik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,Krishmar Santokie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,K Upadhyay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandeep Sharma,KH Pandya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
