Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Scott Michael Boland,AJ Finch,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
Scott Michael Boland,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Michael Boland,A Mithun,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Scott Michael Boland,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Michael Boland,AA Jhunjhunwala,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
Scott Michael Boland,AM Nayar,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Scott Michael Boland,AS Raut,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Scott Michael Boland,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Michael Boland,AN Ahmed,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
Scott Michael Boland,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
Scott Michael Boland,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Michael Boland,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Michael Boland,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Michael Boland,A Zampa,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Scott Michael Boland,AP Dole,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
Scott Michael Boland,AD Mascarenhas,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
Scott Michael Boland,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Michael Boland,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Michael Boland,AB Agarkar,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385
Scott Michael Boland,A Chandila,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0
Scott Michael Boland,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Michael Boland,AR Patel,0.2631578947368421,0.2631578947368421,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.0,0.10526315789473684,0.05263157894736842,0.10526315789473684
Scott Michael Boland,AC Thomas,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Scott Michael Boland,AG Murtaza,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
Scott Michael Boland,A Mishra,0.24,0.32,0.12,0.04,0.08,0.0,0.08,0.08,0.04
Scott Michael Boland,A Singh,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Scott Michael Boland,A Uniyal,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
Scott Michael Boland,A Ashish Reddy,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Scott Michael Boland,Anand Rajan,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Scott Michael Boland,AD Russell,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
Scott Michael Boland,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Michael Boland,AB McDonald,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
Scott Michael Boland,A Flintoff,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
