Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Shakib Al Hasan,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Shakib Al Hasan,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shakib Al Hasan,A Mithun,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Shakib Al Hasan,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shakib Al Hasan,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
Shakib Al Hasan,AM Nayar,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Shakib Al Hasan,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Shakib Al Hasan,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shakib Al Hasan,AN Ahmed,0.38461538461538464,0.23076923076923078,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
Shakib Al Hasan,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Shakib Al Hasan,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shakib Al Hasan,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shakib Al Hasan,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shakib Al Hasan,A Zampa,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Shakib Al Hasan,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Shakib Al Hasan,AD Mascarenhas,0.25,0.25,0.125,0.125,0.125,0.0,0.0,0.125,0.0
Shakib Al Hasan,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shakib Al Hasan,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shakib Al Hasan,AB Agarkar,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
Shakib Al Hasan,A Chandila,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
Shakib Al Hasan,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shakib Al Hasan,AR Patel,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.09090909090909091
Shakib Al Hasan,AC Thomas,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
Shakib Al Hasan,AG Murtaza,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Shakib Al Hasan,A Mishra,0.2631578947368421,0.3157894736842105,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842
Shakib Al Hasan,A Singh,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Shakib Al Hasan,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Shakib Al Hasan,A Ashish Reddy,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
Shakib Al Hasan,Anand Rajan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
Shakib Al Hasan,AD Russell,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
Shakib Al Hasan,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shakib Al Hasan,AB McDonald,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Shakib Al Hasan,A Flintoff,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
Shakib Al Hasan,A Symonds,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
Shakib Al Hasan,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shakib Al Hasan,A Kumble,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
Shakib Al Hasan,AA Chavan,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
Shakib Al Hasan,Ankit Sharma,0.2,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.1
Shakib Al Hasan,AS Rajpoot,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
