Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Shivam Sharma,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Shivam Sharma,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,AB Agarkar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
Shivam Sharma,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Shivam Sharma,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,AR Patel,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
Shivam Sharma,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
Shivam Sharma,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,A Mishra,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
Shivam Sharma,A Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Shivam Sharma,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shivam Sharma,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
