Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
TG Southee,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,AN Ahmed,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
TG Southee,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,A Zampa,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
TG Southee,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,AB Agarkar,0.25,0.25,0.125,0.0,0.0,0.0,0.125,0.125,0.125
TG Southee,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,AR Patel,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
TG Southee,AC Thomas,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
TG Southee,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,A Mishra,0.2631578947368421,0.21052631578947367,0.10526315789473684,0.0,0.10526315789473684,0.0,0.15789473684210525,0.05263157894736842,0.10526315789473684
TG Southee,A Singh,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,A Ashish Reddy,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,Anand Rajan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
TG Southee,AD Russell,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
TG Southee,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
TG Southee,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,A Symonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,A Kumble,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
TG Southee,AA Chavan,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
TG Southee,Ankit Sharma,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.2
TG Southee,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,A Nehra,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.0,0.07692307692307693,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693
TG Southee,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,AB Dinda,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
TG Southee,AL Menaria,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
TG Southee,Azhar Mahmood,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
TG Southee,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,BAW Mendis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,BB Sran,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
TG Southee,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,B Laughlin,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2
TG Southee,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,BE Hendricks,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
TG Southee,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,BA Bhatt,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
TG Southee,B Kumar,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
TG Southee,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,Bipul Sharma,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0
TG Southee,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,BJ Hodge,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,B Lee,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
TG Southee,CL White,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
TG Southee,CR Brathwaite,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
TG Southee,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,CK Langeveldt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,CH Gayle,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
TG Southee,CH Morris,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
TG Southee,CJ Jordan,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
TG Southee,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,CRD Fernando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,CJ Anderson,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
TG Southee,DW Steyn,0.3076923076923077,0.23076923076923078,0.15384615384615385,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
TG Southee,DJ Harris,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG Southee,DL Vettori,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
TG Southee,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
