Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
TM Head,AJ Finch,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
TM Head,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Head,A Mithun,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
TM Head,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Head,AA Jhunjhunwala,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0
TM Head,AM Nayar,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
TM Head,AS Raut,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
TM Head,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Head,AN Ahmed,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
TM Head,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
TM Head,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Head,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Head,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Head,A Zampa,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
TM Head,AP Dole,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
TM Head,AD Mascarenhas,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
TM Head,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Head,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Head,AB Agarkar,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.0,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285
TM Head,A Chandila,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0
TM Head,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Head,AR Patel,0.23809523809523808,0.23809523809523808,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.0,0.09523809523809523,0.09523809523809523,0.09523809523809523
TM Head,AC Thomas,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
TM Head,AG Murtaza,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.0,0.15384615384615385,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693
TM Head,A Mishra,0.23076923076923078,0.3076923076923077,0.11538461538461539,0.038461538461538464,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
TM Head,A Singh,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
TM Head,A Uniyal,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
