Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
TM Srivastava,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
TM Srivastava,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Srivastava,A Mithun,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
TM Srivastava,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Srivastava,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
TM Srivastava,AM Nayar,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
TM Srivastava,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
TM Srivastava,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Srivastava,AN Ahmed,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
TM Srivastava,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
TM Srivastava,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Srivastava,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Srivastava,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Srivastava,A Zampa,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
TM Srivastava,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
TM Srivastava,AD Mascarenhas,0.25,0.25,0.125,0.125,0.125,0.0,0.0,0.125,0.0
TM Srivastava,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Srivastava,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Srivastava,AB Agarkar,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
TM Srivastava,A Chandila,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
TM Srivastava,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Srivastava,AR Patel,0.25,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
TM Srivastava,AC Thomas,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
TM Srivastava,AG Murtaza,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
