Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Tabraiz Shamsi,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AB Agarkar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AR Patel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,A Mishra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,A Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,A Symonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,A Kumble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,A Nehra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AB Dinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,Azhar Mahmood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,BB Sran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabraiz Shamsi,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
