Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Taduri Prakashchandra Sudhindra,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AB Agarkar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AR Patel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,A Mishra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,A Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,A Symonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taduri Prakashchandra Sudhindra,A Kumble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
