Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Trent Alexander Boult,AJ Finch,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
Trent Alexander Boult,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,A Mithun,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.0,0.125
Trent Alexander Boult,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,AA Jhunjhunwala,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
Trent Alexander Boult,AM Nayar,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,AS Raut,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
Trent Alexander Boult,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,AN Ahmed,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,AC Voges,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
Trent Alexander Boult,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,A Zampa,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Trent Alexander Boult,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Trent Alexander Boult,AD Mascarenhas,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.125
Trent Alexander Boult,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,AM Rahane,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Trent Alexander Boult,AB Agarkar,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705
Trent Alexander Boult,A Chandila,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Trent Alexander Boult,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,AR Patel,0.25,0.25,0.125,0.0,0.125,0.0,0.0625,0.0625,0.125
Trent Alexander Boult,AC Thomas,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,AG Murtaza,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.125
Trent Alexander Boult,A Mishra,0.23076923076923078,0.34615384615384615,0.07692307692307693,0.0,0.11538461538461539,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
Trent Alexander Boult,A Singh,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
Trent Alexander Boult,A Uniyal,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
Trent Alexander Boult,A Ashish Reddy,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,Anand Rajan,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,AD Russell,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
Trent Alexander Boult,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,AB McDonald,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,A Flintoff,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
Trent Alexander Boult,A Symonds,0.2,0.2,0.1,0.0,0.1,0.0,0.2,0.1,0.1
Trent Alexander Boult,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,A Kumble,0.2,0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667
Trent Alexander Boult,AA Chavan,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,Ankit Sharma,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
Trent Alexander Boult,AS Rajpoot,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,AUK Pathan,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285
Trent Alexander Boult,A Nehra,0.2727272727272727,0.22727272727272727,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.0,0.045454545454545456,0.09090909090909091,0.09090909090909091
Trent Alexander Boult,AA Noffke,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Trent Alexander Boult,AB Dinda,0.22727272727272727,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.09090909090909091
Trent Alexander Boult,AL Menaria,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,Azhar Mahmood,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
Trent Alexander Boult,B Akhil,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,BAW Mendis,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Trent Alexander Boult,BMAJ Mendis,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
Trent Alexander Boult,BB Sran,0.2,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.1
Trent Alexander Boult,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,B Laughlin,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
Trent Alexander Boult,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,BCJ Cutting,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
Trent Alexander Boult,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,BE Hendricks,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
Trent Alexander Boult,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,BA Bhatt,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Trent Alexander Boult,B Kumar,0.3,0.2,0.1,0.0,0.15,0.05,0.05,0.05,0.1
Trent Alexander Boult,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,Bipul Sharma,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,BJ Hodge,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,B Lee,0.25,0.1875,0.125,0.0625,0.125,0.0,0.0625,0.0625,0.125
Trent Alexander Boult,CL White,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
Trent Alexander Boult,CR Brathwaite,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Trent Alexander Boult,CK Kapugedera,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,CK Langeveldt,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Trent Alexander Boult,C Nanda,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
Trent Alexander Boult,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,CH Gayle,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385
Trent Alexander Boult,CH Morris,0.2631578947368421,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.0,0.05263157894736842,0.10526315789473684,0.10526315789473684
Trent Alexander Boult,CJ Jordan,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,CJ McKay,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
Trent Alexander Boult,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,CRD Fernando,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,CJ Anderson,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Trent Alexander Boult,DW Steyn,0.3181818181818182,0.22727272727272727,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.0,0.045454545454545456,0.045454545454545456,0.09090909090909091
Trent Alexander Boult,DJ Harris,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Trent Alexander Boult,DL Vettori,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
Trent Alexander Boult,DT Christian,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182
Trent Alexander Boult,DJG Sammy,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,DJ Hussey,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.1
Trent Alexander Boult,D Wiese,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Trent Alexander Boult,DJ Hooda,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,DNT Zoysa,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Trent Alexander Boult,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,DB Ravi Teja,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Trent Alexander Boult,DS Kulkarni,0.25,0.2,0.1,0.05,0.1,0.0,0.1,0.1,0.1
Trent Alexander Boult,D du Preez,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
Trent Alexander Boult,D Salunkhe,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Trent Alexander Boult,DP Nannes,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
Trent Alexander Boult,D Kalyankrishna,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,DJ Thornely,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Trent Alexander Boult,DJ Muthuswami,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Trent Alexander Boult,DAJ Bracewell,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
Trent Alexander Boult,DE Bollinger,0.25,0.25,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
Trent Alexander Boult,DJ Bravo,0.25,0.25,0.08333333333333333,0.041666666666666664,0.125,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
Trent Alexander Boult,DR Smith,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,FY Fazal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,FH Edwards,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
Trent Alexander Boult,F du Plessis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,GH Vihari,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
Trent Alexander Boult,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,GB Hogg,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
Trent Alexander Boult,GJ Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,GD McGrath,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
Trent Alexander Boult,GJ Maxwell,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Trent Alexander Boult,GC Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,GR Napier,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Trent Alexander Boult,Gurinder Singh Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,Gurkeerat Singh,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Trent Alexander Boult,Harbhajan Singh,0.26666666666666666,0.3333333333333333,0.06666666666666667,0.03333333333333333,0.1,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667
Trent Alexander Boult,HH Pandya,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
Trent Alexander Boult,Harmeet Singh Baddhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,Harmeet Singh,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
Trent Alexander Boult,Harpreet Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,HV Patel,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
Trent Alexander Boult,HM Amla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,S Randiv,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
Trent Alexander Boult,IK Pathan,0.2916666666666667,0.20833333333333334,0.08333333333333333,0.041666666666666664,0.125,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
Trent Alexander Boult,I Malhotra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,IR Jaggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,I Sharma,0.3181818181818182,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.0,0.09090909090909091,0.045454545454545456,0.09090909090909091
Trent Alexander Boult,IC Pandey,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
Trent Alexander Boult,Ishwar Haribhai Chaudhary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,JDP Oram,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,JH Kallis,0.21739130434782608,0.2608695652173913,0.08695652173913043,0.043478260869565216,0.13043478260869565,0.0,0.08695652173913043,0.08695652173913043,0.08695652173913043
Trent Alexander Boult,J Suchith,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,Jagrit Anand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,Jalaj Sahay Saxena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,J Syed Mohammad,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,JDS Neesham,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285
Trent Alexander Boult,JEC Franklin,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Trent Alexander Boult,JP Faulkner,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.05555555555555555,0.1111111111111111
Trent Alexander Boult,JR Hopes,0.16666666666666666,0.25,0.16666666666666666,0.0,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333
Trent Alexander Boult,Jaskaran Singh,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Trent Alexander Boult,JO Holder,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Trent Alexander Boult,JJ Bumrah,0.2,0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667
Trent Alexander Boult,J Yadav,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
Trent Alexander Boult,JD Unadkat,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
Trent Alexander Boult,JP Duminy,0.25,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
Trent Alexander Boult,JE Taylor,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Trent Alexander Boult,JD Ryder,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.0,0.125
Trent Alexander Boult,Joginder Sharma,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,J Botha,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
Trent Alexander Boult,JA Morkel,0.2608695652173913,0.21739130434782608,0.08695652173913043,0.043478260869565216,0.13043478260869565,0.0,0.08695652173913043,0.08695652173913043,0.08695652173913043
Trent Alexander Boult,JJ van der Wath,0.25,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.0
Trent Alexander Boult,John Wayne Hastings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,J Theron,0.25,0.25,0.0,0.0,0.125,0.0,0.125,0.125,0.125
Trent Alexander Boult,JM Kemp,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Trent Alexander Boult,Kamran Khan,0.25,0.25,0.0,0.0,0.125,0.0,0.125,0.125,0.125
Trent Alexander Boult,KS Williamson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,KW Richardson,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Trent Alexander Boult,K Goel,0.25,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125
Trent Alexander Boult,Karanveer Singh,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0
Trent Alexander Boult,KV Sharma,0.2222222222222222,0.2777777777777778,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.05555555555555555,0.05555555555555555
Trent Alexander Boult,KK Nair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,Anureet Singh,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
Trent Alexander Boult,KM Jadhav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,KAJ Roach,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
Trent Alexander Boult,KP Pietersen,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.0,0.125
Trent Alexander Boult,KK Cooper,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
Trent Alexander Boult,Abdur Razzak,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
Trent Alexander Boult,KA Pollard,0.19047619047619047,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.0,0.09523809523809523,0.09523809523809523,0.09523809523809523
Trent Alexander Boult,KB Arun Karthik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,KC Cariappa,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Trent Alexander Boult,KP Appanna,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Trent Alexander Boult,KD Karthik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,Krishmar Santokie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,K Upadhyay,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander Boult,KH Pandya,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Trent Alexander Boult,KMDN Kulasekara,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
Trent Alexander Boult,Kuldeep Yadav,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
Trent Alexander Boult,KJ Abbott,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.0,0.125
Trent Alexander Boult,L Balaji,0.25,0.25,0.1,0.0,0.1,0.0,0.1,0.1,0.1
