Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
UT Yadav,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
UT Yadav,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
UT Yadav,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UT Yadav,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
UT Yadav,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,AB Agarkar,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285
UT Yadav,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,AR Patel,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
UT Yadav,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
UT Yadav,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
UT Yadav,A Mishra,0.3,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1
UT Yadav,A Singh,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
UT Yadav,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
UT Yadav,A Ashish Reddy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
UT Yadav,Anand Rajan,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
UT Yadav,AD Russell,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
UT Yadav,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,AB McDonald,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
UT Yadav,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,A Kumble,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
UT Yadav,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
