Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
VH Zol,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
VH Zol,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,A Mithun,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
VH Zol,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
VH Zol,AM Nayar,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
VH Zol,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
VH Zol,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,AN Ahmed,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
VH Zol,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
VH Zol,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,A Zampa,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
VH Zol,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
VH Zol,AD Mascarenhas,0.25,0.25,0.125,0.125,0.125,0.0,0.0,0.125,0.0
VH Zol,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,AB Agarkar,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
VH Zol,A Chandila,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0
VH Zol,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,AR Patel,0.25,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
VH Zol,AC Thomas,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
VH Zol,AG Murtaza,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
VH Zol,A Mishra,0.2608695652173913,0.30434782608695654,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.0,0.08695652173913043,0.08695652173913043,0.043478260869565216
VH Zol,A Singh,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
VH Zol,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
VH Zol,A Ashish Reddy,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
VH Zol,Anand Rajan,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.125
VH Zol,AD Russell,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
VH Zol,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,AB McDonald,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
VH Zol,A Flintoff,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
VH Zol,A Symonds,0.25,0.25,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
VH Zol,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,A Kumble,0.25,0.25,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
VH Zol,AA Chavan,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
VH Zol,Ankit Sharma,0.2,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.1
VH Zol,AS Rajpoot,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
VH Zol,AUK Pathan,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
VH Zol,A Nehra,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385
VH Zol,AA Noffke,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,AB Dinda,0.2631578947368421,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684
VH Zol,AL Menaria,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0
VH Zol,Azhar Mahmood,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
VH Zol,B Akhil,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
VH Zol,BAW Mendis,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.125
VH Zol,BMAJ Mendis,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
VH Zol,BB Sran,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
VH Zol,BJ Rohrer,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
VH Zol,B Laughlin,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
VH Zol,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,BCJ Cutting,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
VH Zol,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,BE Hendricks,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
VH Zol,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,BA Bhatt,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
VH Zol,B Kumar,0.2857142857142857,0.23809523809523808,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.0,0.047619047619047616,0.09523809523809523,0.09523809523809523
VH Zol,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,Bipul Sharma,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.1
VH Zol,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,BJ Hodge,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
VH Zol,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,B Lee,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
VH Zol,CL White,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
VH Zol,CR Brathwaite,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
VH Zol,CK Kapugedera,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
VH Zol,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,CK Langeveldt,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
VH Zol,C Nanda,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
VH Zol,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,CH Gayle,0.2,0.3,0.1,0.1,0.1,0.0,0.1,0.0,0.1
VH Zol,CH Morris,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
VH Zol,CJ Jordan,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
VH Zol,CJ McKay,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0
VH Zol,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,C Munro,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
VH Zol,CRD Fernando,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
VH Zol,CJ Anderson,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.0,0.125
VH Zol,DW Steyn,0.2857142857142857,0.23809523809523808,0.09523809523809523,0.047619047619047616,0.14285714285714285,0.0,0.047619047619047616,0.047619047619047616,0.09523809523809523
VH Zol,DJ Harris,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
VH Zol,DL Vettori,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
VH Zol,DT Christian,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
VH Zol,DJG Sammy,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.125
VH Zol,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,DJ Hussey,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111
VH Zol,D Wiese,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
VH Zol,DJ Hooda,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
VH Zol,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,DNT Zoysa,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
VH Zol,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,DB Ravi Teja,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
VH Zol,DS Kulkarni,0.29411764705882354,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705,0.11764705882352941
VH Zol,D du Preez,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
VH Zol,D Salunkhe,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
VH Zol,DP Nannes,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
VH Zol,D Kalyankrishna,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
VH Zol,DJ Thornely,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
VH Zol,DJ Muthuswami,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
VH Zol,DAJ Bracewell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VH Zol,DE Bollinger,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
VH Zol,DJ Bravo,0.2222222222222222,0.2777777777777778,0.1111111111111111,0.0,0.1111111111111111,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111
VH Zol,DR Smith,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
VH Zol,FY Fazal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
