Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
VR Aaron,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VR Aaron,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AB Agarkar,0.25,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125
VR Aaron,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
VR Aaron,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AR Patel,0.25,0.375,0.125,0.0,0.125,0.0,0.0,0.0,0.125
VR Aaron,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
VR Aaron,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,A Mishra,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
VR Aaron,A Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
VR Aaron,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AB McDonald,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
VR Aaron,A Flintoff,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
VR Aaron,A Symonds,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
VR Aaron,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,A Kumble,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2
VR Aaron,AA Chavan,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
VR Aaron,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,A Nehra,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
VR Aaron,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,AB Dinda,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
VR Aaron,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Azhar Mahmood,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
VR Aaron,B Akhil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,BB Sran,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
VR Aaron,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,BCJ Cutting,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
VR Aaron,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,BA Bhatt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
VR Aaron,B Kumar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
VR Aaron,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VR Aaron,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,BJ Hodge,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
VR Aaron,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,B Lee,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
VR Aaron,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,CR Brathwaite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,CK Langeveldt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
VR Aaron,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,CH Gayle,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
VR Aaron,CH Morris,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,CJ Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,CRD Fernando,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2
VR Aaron,CJ Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DW Steyn,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
VR Aaron,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DL Vettori,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DJG Sammy,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
VR Aaron,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DJ Hussey,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0
VR Aaron,D Wiese,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DJ Hooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DNT Zoysa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DS Kulkarni,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
VR Aaron,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,D Salunkhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DP Nannes,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2
VR Aaron,D Kalyankrishna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DJ Thornely,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
VR Aaron,DJ Muthuswami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DAJ Bracewell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,DE Bollinger,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
VR Aaron,DJ Bravo,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
VR Aaron,DR Smith,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
VR Aaron,FY Fazal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,FH Edwards,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
VR Aaron,F du Plessis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,GH Vihari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,GB Hogg,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0
VR Aaron,GJ Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,GD McGrath,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
VR Aaron,GJ Maxwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,GC Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,GR Napier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Gurinder Singh Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Gurkeerat Singh,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Harbhajan Singh,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
VR Aaron,HH Pandya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Harmeet Singh Baddhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Harmeet Singh,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
VR Aaron,Harpreet Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,HV Patel,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
VR Aaron,HM Amla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,S Randiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,IK Pathan,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.125
VR Aaron,I Malhotra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,IR Jaggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,I Sharma,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
VR Aaron,IC Pandey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Ishwar Haribhai Chaudhary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,JDP Oram,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
VR Aaron,JH Kallis,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111
VR Aaron,J Suchith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Jagrit Anand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Jalaj Sahay Saxena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,J Syed Mohammad,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
VR Aaron,JDS Neesham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,JEC Franklin,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
VR Aaron,JP Faulkner,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
VR Aaron,JR Hopes,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
VR Aaron,Jaskaran Singh,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
VR Aaron,JO Holder,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
VR Aaron,JJ Bumrah,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
VR Aaron,J Yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,JD Unadkat,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25
VR Aaron,JP Duminy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
VR Aaron,JE Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,JD Ryder,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,Joginder Sharma,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,J Botha,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
VR Aaron,JA Morkel,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
VR Aaron,JJ van der Wath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,John Wayne Hastings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
