Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
VRV Singh,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRV Singh,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRV Singh,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
VRV Singh,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRV Singh,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRV Singh,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRV Singh,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
VRV Singh,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRV Singh,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
VRV Singh,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRV Singh,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VRV Singh,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRV Singh,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRV Singh,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
VRV Singh,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRV Singh,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRV Singh,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRV Singh,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
