Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
VS Yeligati,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,A Mithun,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285
VS Yeligati,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
VS Yeligati,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VS Yeligati,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
VS Yeligati,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,AB Agarkar,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285
VS Yeligati,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,AR Patel,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
VS Yeligati,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
VS Yeligati,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
VS Yeligati,A Mishra,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
VS Yeligati,A Singh,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0
VS Yeligati,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
VS Yeligati,A Ashish Reddy,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
VS Yeligati,Anand Rajan,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
VS Yeligati,AD Russell,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0
VS Yeligati,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,AB McDonald,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,A Symonds,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0
VS Yeligati,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,A Kumble,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
VS Yeligati,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,Ankit Sharma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS Yeligati,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
