Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
WA Mota,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
WA Mota,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AB Agarkar,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111
WA Mota,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
WA Mota,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AR Patel,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
WA Mota,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
WA Mota,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,A Mishra,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
WA Mota,A Singh,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0
WA Mota,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AB McDonald,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
WA Mota,A Flintoff,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
WA Mota,A Symonds,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
WA Mota,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,A Kumble,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2
WA Mota,AA Chavan,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
WA Mota,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,A Nehra,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.125
WA Mota,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,AB Dinda,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
WA Mota,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,Azhar Mahmood,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
WA Mota,B Akhil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,BB Sran,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0
WA Mota,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,BCJ Cutting,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
WA Mota,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,BA Bhatt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
WA Mota,B Kumar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
WA Mota,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
WA Mota,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,BJ Hodge,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
WA Mota,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,B Lee,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
WA Mota,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,CR Brathwaite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,CK Langeveldt,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0
WA Mota,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,CH Gayle,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
WA Mota,CH Morris,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,CJ Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,CRD Fernando,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2
WA Mota,CJ Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,DW Steyn,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
WA Mota,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,DL Vettori,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA Mota,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
