Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Y Gnaneswara Rao,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Y Gnaneswara Rao,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Gnaneswara Rao,A Mithun,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
Y Gnaneswara Rao,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Gnaneswara Rao,AA Jhunjhunwala,0.25,0.125,0.125,0.0,0.125,0.125,0.125,0.0,0.125
Y Gnaneswara Rao,AM Nayar,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Y Gnaneswara Rao,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Y Gnaneswara Rao,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Gnaneswara Rao,AN Ahmed,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Y Gnaneswara Rao,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Y Gnaneswara Rao,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Gnaneswara Rao,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Gnaneswara Rao,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Gnaneswara Rao,A Zampa,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Y Gnaneswara Rao,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Y Gnaneswara Rao,AD Mascarenhas,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0
Y Gnaneswara Rao,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Gnaneswara Rao,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Gnaneswara Rao,AB Agarkar,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
Y Gnaneswara Rao,A Chandila,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0
Y Gnaneswara Rao,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Gnaneswara Rao,AR Patel,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
Y Gnaneswara Rao,AC Thomas,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
Y Gnaneswara Rao,AG Murtaza,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Y Gnaneswara Rao,A Mishra,0.2608695652173913,0.30434782608695654,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.0,0.08695652173913043,0.08695652173913043,0.043478260869565216
Y Gnaneswara Rao,A Singh,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
