Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Y Venugopal Rao,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Y Venugopal Rao,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,A Mithun,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667
Y Venugopal Rao,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,AA Jhunjhunwala,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111
Y Venugopal Rao,AM Nayar,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Y Venugopal Rao,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Y Venugopal Rao,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,AN Ahmed,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
Y Venugopal Rao,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Y Venugopal Rao,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,A Zampa,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Y Venugopal Rao,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Y Venugopal Rao,AD Mascarenhas,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0
Y Venugopal Rao,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,AB Agarkar,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
Y Venugopal Rao,A Chandila,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0
Y Venugopal Rao,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,AR Patel,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
Y Venugopal Rao,AC Thomas,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Y Venugopal Rao,AG Murtaza,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.1
Y Venugopal Rao,A Mishra,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.07692307692307693,0.15384615384615385
Y Venugopal Rao,A Singh,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
Y Venugopal Rao,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Y Venugopal Rao,A Ashish Reddy,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Y Venugopal Rao,Anand Rajan,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.125
Y Venugopal Rao,AD Russell,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
Y Venugopal Rao,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,AB McDonald,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
Y Venugopal Rao,A Flintoff,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
Y Venugopal Rao,A Symonds,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182
Y Venugopal Rao,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,A Kumble,0.3125,0.25,0.0625,0.0,0.0625,0.0,0.1875,0.0625,0.0625
Y Venugopal Rao,AA Chavan,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Y Venugopal Rao,Ankit Sharma,0.2,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.1
Y Venugopal Rao,AS Rajpoot,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
Y Venugopal Rao,AUK Pathan,0.2,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0
Y Venugopal Rao,A Nehra,0.14285714285714285,0.3333333333333333,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523
Y Venugopal Rao,AA Noffke,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,AB Dinda,0.25,0.1875,0.125,0.0625,0.0625,0.0625,0.0625,0.125,0.0625
Y Venugopal Rao,AL Menaria,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0
Y Venugopal Rao,Azhar Mahmood,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
Y Venugopal Rao,B Akhil,0.21428571428571427,0.42857142857142855,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
Y Venugopal Rao,BAW Mendis,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.125
Y Venugopal Rao,BMAJ Mendis,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Y Venugopal Rao,BB Sran,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
Y Venugopal Rao,BJ Rohrer,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
Y Venugopal Rao,B Laughlin,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
Y Venugopal Rao,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,BCJ Cutting,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
Y Venugopal Rao,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,BE Hendricks,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Y Venugopal Rao,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,BA Bhatt,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
Y Venugopal Rao,B Kumar,0.3181818181818182,0.22727272727272727,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.0,0.045454545454545456,0.09090909090909091,0.09090909090909091
Y Venugopal Rao,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,Bipul Sharma,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.1
Y Venugopal Rao,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,BJ Hodge,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Y Venugopal Rao,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,B Lee,0.35714285714285715,0.21428571428571427,0.14285714285714285,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
Y Venugopal Rao,CL White,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.0,0.125
Y Venugopal Rao,CR Brathwaite,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Y Venugopal Rao,CK Kapugedera,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Y Venugopal Rao,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,CK Langeveldt,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
Y Venugopal Rao,C Nanda,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
Y Venugopal Rao,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,CH Gayle,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.0,0.09090909090909091
Y Venugopal Rao,CH Morris,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
Y Venugopal Rao,CJ Jordan,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Y Venugopal Rao,CJ McKay,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0
Y Venugopal Rao,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,C Munro,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Y Venugopal Rao,CRD Fernando,0.35294117647058826,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.11764705882352941
Y Venugopal Rao,CJ Anderson,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111
Y Venugopal Rao,DW Steyn,0.2,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.2,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333
Y Venugopal Rao,DJ Harris,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Y Venugopal Rao,DL Vettori,0.3888888888888889,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111
Y Venugopal Rao,DT Christian,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705,0.11764705882352941
Y Venugopal Rao,DJG Sammy,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.125
Y Venugopal Rao,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,DJ Hussey,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111
Y Venugopal Rao,D Wiese,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
Y Venugopal Rao,DJ Hooda,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Y Venugopal Rao,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,DNT Zoysa,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
Y Venugopal Rao,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,DB Ravi Teja,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Y Venugopal Rao,DS Kulkarni,0.25,0.25,0.125,0.0625,0.125,0.0,0.0625,0.0625,0.0625
Y Venugopal Rao,D du Preez,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
Y Venugopal Rao,D Salunkhe,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
Y Venugopal Rao,DP Nannes,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182
Y Venugopal Rao,D Kalyankrishna,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
Y Venugopal Rao,DJ Thornely,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0
Y Venugopal Rao,DJ Muthuswami,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Y Venugopal Rao,DAJ Bracewell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,DE Bollinger,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
Y Venugopal Rao,DJ Bravo,0.15384615384615385,0.46153846153846156,0.038461538461538464,0.0,0.11538461538461539,0.0,0.07692307692307693,0.038461538461538464,0.11538461538461539
Y Venugopal Rao,DR Smith,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Y Venugopal Rao,FY Fazal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,FH Edwards,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Y Venugopal Rao,F du Plessis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,GH Vihari,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
Y Venugopal Rao,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,GB Hogg,0.2,0.2,0.2,0.0,0.1,0.0,0.1,0.1,0.1
Y Venugopal Rao,GJ Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,GD McGrath,0.5263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842
Y Venugopal Rao,GJ Maxwell,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
Y Venugopal Rao,GC Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,GR Napier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,Gurinder Singh Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,Gurkeerat Singh,0.125,0.25,0.125,0.125,0.125,0.0,0.0,0.125,0.125
Y Venugopal Rao,Harbhajan Singh,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Y Venugopal Rao,HH Pandya,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Y Venugopal Rao,Harmeet Singh Baddhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,Harmeet Singh,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
Y Venugopal Rao,Harpreet Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,HV Patel,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.0,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941
Y Venugopal Rao,HM Amla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,S Randiv,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Y Venugopal Rao,IK Pathan,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,0.2727272727272727,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091
Y Venugopal Rao,I Malhotra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,IR Jaggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,I Sharma,0.5,0.125,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.08333333333333333
Y Venugopal Rao,IC Pandey,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
Y Venugopal Rao,Ishwar Haribhai Chaudhary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,JDP Oram,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
Y Venugopal Rao,JH Kallis,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
Y Venugopal Rao,J Suchith,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
Y Venugopal Rao,Jagrit Anand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,Jalaj Sahay Saxena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,J Syed Mohammad,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
Y Venugopal Rao,JDS Neesham,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
Y Venugopal Rao,JEC Franklin,0.125,0.375,0.125,0.0,0.125,0.0,0.125,0.125,0.0
Y Venugopal Rao,JP Faulkner,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.0,0.09090909090909091,0.18181818181818182,0.18181818181818182
Y Venugopal Rao,JR Hopes,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
Y Venugopal Rao,Jaskaran Singh,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Y Venugopal Rao,JO Holder,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666
Y Venugopal Rao,JJ Bumrah,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
Y Venugopal Rao,J Yadav,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
Y Venugopal Rao,JD Unadkat,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Y Venugopal Rao,JP Duminy,0.25,0.25,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
Y Venugopal Rao,JE Taylor,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Y Venugopal Rao,JD Ryder,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Y Venugopal Rao,Joginder Sharma,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
Y Venugopal Rao,J Botha,0.2,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667
Y Venugopal Rao,JA Morkel,0.22727272727272727,0.36363636363636365,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.0,0.045454545454545456,0.045454545454545456,0.09090909090909091
Y Venugopal Rao,JJ van der Wath,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Y Venugopal Rao,John Wayne Hastings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,J Theron,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Y Venugopal Rao,JM Kemp,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
Y Venugopal Rao,Kamran Khan,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
Y Venugopal Rao,KS Williamson,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Venugopal Rao,KW Richardson,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385
Y Venugopal Rao,K Goel,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
