Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
YS Chahal,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AD Mascarenhas,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
YS Chahal,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AB Agarkar,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
YS Chahal,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AR Patel,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
YS Chahal,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,A Mishra,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
YS Chahal,A Singh,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
YS Chahal,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,A Ashish Reddy,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
YS Chahal,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AD Russell,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
YS Chahal,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,A Symonds,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
YS Chahal,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,A Kumble,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
YS Chahal,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
