Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
YV Takawale,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
YV Takawale,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YV Takawale,A Mithun,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182
YV Takawale,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YV Takawale,AA Jhunjhunwala,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111
YV Takawale,AM Nayar,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
YV Takawale,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
YV Takawale,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YV Takawale,AN Ahmed,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
YV Takawale,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
YV Takawale,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YV Takawale,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YV Takawale,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YV Takawale,A Zampa,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
YV Takawale,AP Dole,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0
YV Takawale,AD Mascarenhas,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0
YV Takawale,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YV Takawale,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YV Takawale,AB Agarkar,0.2,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333
YV Takawale,A Chandila,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0
YV Takawale,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YV Takawale,AR Patel,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
YV Takawale,AC Thomas,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
YV Takawale,AG Murtaza,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
YV Takawale,A Mishra,0.25,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
YV Takawale,A Singh,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
YV Takawale,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
YV Takawale,A Ashish Reddy,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
YV Takawale,Anand Rajan,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.125
YV Takawale,AD Russell,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
YV Takawale,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YV Takawale,AB McDonald,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
YV Takawale,A Flintoff,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285
YV Takawale,A Symonds,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385
YV Takawale,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YV Takawale,A Kumble,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.0,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285
YV Takawale,AA Chavan,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
YV Takawale,Ankit Sharma,0.2,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.1
YV Takawale,AS Rajpoot,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
YV Takawale,AUK Pathan,0.2,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0
YV Takawale,A Nehra,0.0625,0.125,0.125,0.0625,0.1875,0.0625,0.125,0.125,0.125
